sample,type,season,merge,site,Rainfall,Temperature,Turbidity,Salinity,pH,TP,TN,COD,totalMP,SO2,DO,velocity,redundancy
86,NP,2.may,np2,TR17L,-0.55384456,0.42426456,-0.244097063,0.72190372,-0.109788587,-0.403014789,-0.401215129,-0.512102918,0.710482165,0.394046101,-0.588900197,-0.630164032,-0.149766678
87,NP,2.may,np2,TR19I,-0.55384456,0.633366925,-0.382402556,2.198660299,0.532876311,-0.585054091,0.129919759,-0.424313847,1.486707181,-0.514887823,0.215451292,-0.388275649,-1.255307346
88,NP,2.may,np2,TSR1,0.641966351,-0.272743324,3.366404224,-0.647668914,0.693542535,-0.0085963,0.895378863,-0.248735703,-0.202723736,-0.280109015,0.445266003,-0.614038139,-0.265244773
89,NP,2.may,np2,YL2,0.641966351,0.00605983,-0.382402556,-0.635759586,-0.270454811,0.203782886,0.95786532,0.629155014,-0.354924719,-0.114270669,0.157997614,1.202812381,-1.125635433
90,NP,2.may,np2,YL4,0.641966351,0.00605983,0.11986476,-0.528575641,-0.59178726,0.112763234,0.562117757,-0.248735703,-0.080962949,-0.370335242,-2.772139953,-0.294207944,-0.301868326
91,NP,3.Aug,np3,DB2,-0.494858372,0.772768501,0.127143997,-0.659578241,-0.109788587,-0.615393975,-0.698025801,-1.038837349,-0.689766883,-0.518763739,0.502719681,-0.635539329,-0.143984011
92,NP,3.Aug,np3,IN2,1.912850592,0.790193699,4.480127404,-0.647668914,-0.59178726,-0.645733858,-0.583467296,-0.248735703,-0.62888649,-0.47454018,0.043090258,-0.59253695,0.356829941
93,NP,3.Aug,np3,KN5,-0.441234564,1.208398429,-0.295051718,0.37653323,-0.59178726,1.083639513,1.098459849,1.068100373,2.202051803,3.335929408,0.100543936,0.100876415,-0.016590119
94,NP,3.Aug,np3,PR7,-0.441234564,0.737918107,1.488361216,-0.647668914,0.211543862,-0.615393975,-0.505359224,-1.126626421,0.11689833,2.738657203,0.330358647,-0.608662842,-0.831069914
95,NP,3.Aug,np3,TC2,-0.178477906,0.737918107,-0.447915684,-0.647668914,-0.431121036,-0.615393975,-0.661575368,-0.687681062,-0.689766883,-0.515840917,0.330358647,0.135815848,-0.20671718
96,NP,3.Aug,np3,TN2,-0.178477906,0.877319684,0.709482914,-0.647668914,2.942869678,-0.220975486,-0.234584576,-0.07315756,-0.278824227,-0.489789683,0.043090258,0.259447688,-0.766759655
97,NP,3.Aug,np3,TN6,-0.178477906,0.598516531,-0.273214009,0.709994393,-0.431121036,-0.676073742,-0.401215129,0.014631512,-0.659326686,0.279674828,-0.761261231,-0.619413437,-0.275057782
98,NP,3.Aug,np3,TR12B,1.912850592,0.894744881,-0.440636447,-0.659578241,-0.431121036,-0.676073742,-0.60950332,-0.951048277,-0.704986981,-0.481529535,0.675080714,1.939228125,0.073128825
99,NP,3.Aug,np3,TR12D,1.912850592,0.546240939,-0.469753393,-0.659578241,-0.431121036,-0.615393975,0.312171927,-1.038837349,0.893123345,-0.521241783,0.732534392,-0.243142619,-0.209170432
100,NP,3.Aug,np3,TR12I,1.912850592,0.807618896,-0.462474157,1.269732773,-0.431121036,-0.615393975,-0.229377371,-0.775470134,-0.065742851,0.222489191,-0.876168586,-0.151762563,-0.724528667
101,NP,3.Aug,np3,TR17L,-0.580656464,1.068996852,-0.440636447,2.162932317,0.050877638,-0.49403444,-0.323107057,0.365787799,-0.294044326,0.286028788,-0.876168586,-0.619413437,-1.061325174
102,NP,3.Aug,np3,TR19I,-0.580656464,1.086422049,-0.367844083,3.10376917,0.372210087,-0.463694556,-0.385593514,0.365787799,0.20821892,0.40675402,-0.473992842,-0.57103576,0.192987728
103,NP,3.Aug,np3,TSR1,-0.494858372,0.947020472,-0.018440732,-0.635759586,-0.109788587,-0.129955835,1.759774857,-0.424313847,-0.704986981,-0.398292664,0.157997614,-0.619413437,-0.762378847
104,NP,3.Aug,np3,YL2,3.575188629,0.825044093,-0.433357211,-0.611940932,-0.752453484,0.476841839,1.218225559,0.014631512,-0.826747768,-0.271848868,-1.737973753,0.931359862,-0.391937736
105,NP,3.Aug,np3,YL4,3.575188629,0.877319684,0.956976954,-0.600031605,-0.752453484,-0.129955835,-0.036710794,-0.512102918,0.512620887,-0.492331267,-2.025242142,1.640899119,0.0030359
106,NP,4.nov,np4,DB2,-0.580656464,0.563666136,-0.396961029,-0.659578241,-0.109788587,-0.676073742,-1.078151751,-1.038837349,-0.507125703,-0.514315967,1.536885881,-0.17863905,0.077509633
107,NP,4.nov,np4,IN2,-0.580656464,0.459114954,-0.164025462,-0.647668914,-0.59178726,2.752333117,3.259449835,-0.775470134,-0.552785998,-0.22737115,0.445266003,-0.576411058,-1.019619884
108,NP,4.nov,np4,KN5,-0.580656464,0.528815742,-0.338727137,0.269349285,-0.752453484,-0.585054091,-0.963593245,-0.951048277,0.223439018,-0.299170894,0.157997614,0.036372846,-0.302394023
109,NP,4.nov,np4,PR7,-0.580656464,0.110611012,-0.411519502,-0.326117078,-0.431121036,-0.645733858,-1.21874628,-1.126626421,-0.81152767,-0.511329606,1.077256458,-0.710793493,1.247535793
110,NP,4.nov,np4,TC2,-0.580656464,-0.098491353,-0.462474157,-0.659578241,-0.59178726,-0.585054091,-0.718854621,-0.951048277,-0.796307571,-0.480894139,0.732534392,0.076687576,-0.312907962
111,NP,4.nov,np4,TN2,-0.580656464,0.058335421,0.127143997,-0.647668914,4.710198146,-0.25131537,-0.276242214,0.541365942,-0.461465408,-0.485341911,0.100543936,1.915039286,0.498943348
112,NP,4.nov,np4,TN6,-0.580656464,-0.046215761,-0.404240265,1.603193936,-0.752453484,-0.585054091,-0.12002607,-0.248735703,-0.796307571,0.489355496,-0.876168586,-0.565660463,-0.865240215
113,NP,4.nov,np4,TR12B,-0.580656464,0.232587392,-0.134908516,-0.659578241,-0.59178726,-0.645733858,-1.08856616,-1.126626421,-0.872408063,-0.509931735,0.904895425,5.282663106,0.053327574
114,NP,4.nov,np4,TR12D,-0.580656464,-0.098491353,-0.45519492,-0.659578241,-0.913119709,-0.645733858,-1.177088642,-1.038837349,-0.339704621,-0.517111709,0.962349103,-0.450091569,1.562077796
115,NP,4.nov,np4,TR12I,0.545443497,-0.081066156,0.229053307,-0.409482369,-0.431121036,-0.49403444,-0.755305054,0.980311301,-0.157063441,-0.357627323,0.387812325,-0.471592758,-0.444682662
116,NP,4.nov,np4,TR17L,0.545443497,0.737918107,-0.324168664,1.103002192,0.372210087,-0.615393975,-0.411629538,-0.863259205,0.497400788,0.029964215,0.387812325,-0.630164032,0.608463544
117,NP,4.nov,np4,TR19I,0.545443497,0.772768501,-0.440636447,1.960473754,0.693542535,-0.585054091,-0.432458357,-0.248735703,-0.583226194,0.273320868,0.445266003,-0.624788734,-1.083930143
118,NP,4.nov,np4,TSR1,-0.580656464,0.598516531,-0.185863171,-0.611940932,0.050877638,-0.25131537,0.327793541,-0.59989199,-0.080962949,-0.36271049,0.904895425,0.117002307,0.662610329
119,NP,4.nov,np4,YL2,-0.580656464,0.354563771,-0.375123319,-0.623850259,-0.270454811,1.508397885,3.467738027,1.858202019,-0.918068358,-0.243256049,0.330358647,0.888357483,-0.869095326
120,NP,4.nov,np4,YL4,-0.580656464,0.30228818,0.338241854,-0.492847659,-0.752453484,0.143103118,1.129703078,-0.424313847,-0.933288457,0.190719393,-2.255056853,-0.442028623,0.191761102
