MAG,indicator,season,exchange,phylum,type
M.TR17L.MP.21.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
M.W.DB2.1.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
M.W.TN6.4.semibin.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
S.KN5.W.10.fa,N,2.may,5,c__Gammaproteobacteria,onlyNP
S.PR7.nonMP.4.semibin.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
S.PR7.W.15.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
S.TN6.W.10.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
S.TSR1.nonMP.14.fa,N,2.may,NA,c__Gammaproteobacteria,onlyNP
A.YL4.W.16.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
F.W.TR12I.semibin.2.fa,N,3.nov,5,c__Gammaproteobacteria,onlyNP
M.TR17L.MP.21.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
M.W.DB2.1.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
M.W.TN6.4.semibin.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
S.KN5.W.10.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
S.PR7.nonMP.4.semibin.fa,N,3.nov,5,c__Gammaproteobacteria,onlyNP
S.PR7.W.15.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
S.TN6.W.10.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
S.TSR1.nonMP.14.fa,N,3.nov,NA,c__Gammaproteobacteria,onlyNP
A.DB2.MP.4.fa,N,1.feb,NA,p__Actinobacteriota,onlyMP
A.YL2.MP.14.semibin.fa,N,1.feb,NA,p__Actinobacteriota,onlyMP
M.TR12D.nonMP.9.fa,N,1.feb,NA,p__Actinobacteriota,onlyMP
S.KN5.MP.2.fa,N,1.feb,NA,p__Actinobacteriota,onlyMP
S.TR12D.nonMP.26.fa,N,1.feb,NA,p__Actinobacteriota,onlyMP
A.DB2.MP.4.fa,N,2.may,NA,p__Actinobacteriota,onlyMP
A.YL2.MP.14.semibin.fa,Y,2.may,5,p__Actinobacteriota,onlyMP
M.TR12D.nonMP.9.fa,Y,2.may,NA,p__Actinobacteriota,onlyMP
S.KN5.MP.2.fa,N,2.may,NA,p__Actinobacteriota,onlyMP
S.TR12D.nonMP.26.fa,N,2.may,NA,p__Actinobacteriota,onlyMP
